Date,Fund1,Fund2,Fund3
19/03/2010,1107.40002441406,5650.10009765625,1159.90002441406
22/03/2010,1099.30004882813,5644.5,1165.81005859375
23/03/2010,1103.5,5673.60009765625,1174.17004394531
24/03/2010,1088.59997558594,5677.89990234375,1167.71997070313
25/03/2010,1092.69995117188,5727.7001953125,1165.72998046875
26/03/2010,1104.19995117188,5703,1166.58996582031
29/03/2010,1110.30004882813,5710.7001953125,1173.21997070313
30/03/2010,1104.5,5672.2998046875,1173.27001953125
31/03/2010,1113.30004882813,5679.60009765625,1169.43005371094
01/04/2010,1125.09997558594,5744.89990234375,1178.09997558594
05/04/2010,1132.90002441406,,1187.43994140625
06/04/2010,1135.09997558594,5780.39990234375,1189.43994140625
07/04/2010,1152.30004882813,5762.10009765625,1182.44995117188
08/04/2010,1152.19995117188,5712.7001953125,1186.43994140625
09/04/2010,1161.09997558594,5771,1194.36999511719
12/04/2010,1161.59997558594,5777.7001953125,1196.47998046875
13/04/2010,1152.80004882813,5761.7001953125,1197.30004882813
14/04/2010,1159,5796.2998046875,1210.65002441406
15/04/2010,1159.69995117188,5825,1211.67004394531
16/04/2010,1136.30004882813,5744,1192.13000488281
19/04/2010,1135.19995117188,5727.89990234375,1197.52001953125
20/04/2010,1138.59997558594,5783.7001953125,1207.17004394531
21/04/2010,1148.19995117188,5723.39990234375,1205.93994140625
22/04/2010,1142.30004882813,5665.2998046875,1208.67004394531
23/04/2010,1153.09997558594,5723.7001953125,1217.28002929688
26/04/2010,1153.5,5753.89990234375,1212.05004882813
27/04/2010,1161.69995117188,5603.5,1183.7099609375
28/04/2010,1171.30004882813,5586.60009765625,1191.35998535156
29/04/2010,1168.40002441406,5617.7998046875,1206.78002929687
30/04/2010,1180.09997558594,5553.2998046875,1186.68994140625
03/05/2010,1182.69995117188,,1202.26000976563
04/05/2010,1168.59997558594,5411.10009765625,1173.59997558594
05/05/2010,1174.59997558594,5341.89990234375,1165.86999511719
06/05/2010,1196.90002441406,5261,1128.15002441406
07/05/2010,1210,5123,1110.88000488281
10/05/2010,1200.40002441406,5387.39990234375,1159.72998046875
11/05/2010,1219.90002441406,5334.2001953125,1155.7900390625
12/05/2010,1242.69995117188,5383.5,1171.67004394531
13/05/2010,1228.80004882813,5433.7001953125,1157.43994140625
14/05/2010,1227.40002441406,5262.89990234375,1135.68005371094
17/05/2010,1227.69995117188,5262.5,1136.93994140625
18/05/2010,1214.30004882813,5307.2998046875,1120.80004882813
19/05/2010,1192.59997558594,5158.10009765625,1115.05004882813
20/05/2010,1187.80004882813,5073.10009765625,1071.58996582031
21/05/2010,1175.69995117188,5062.89990234375,1087.68994140625
24/05/2010,1193.80004882813,5069.60009765625,1073.65002441406
25/05/2010,1197.80004882813,4940.7001953125,1074.03002929688
26/05/2010,1213.30004882813,5038.10009765625,1067.94995117188
27/05/2010,1211.90002441406,5195.2001953125,1103.06005859375
28/05/2010,1212.19995117188,5188.39990234375,1089.41003417969
01/06/2010,1224.80004882813,5163.2998046875,1070.7099609375
02/06/2010,1220.59997558594,5151.2998046875,1098.38000488281
03/06/2010,1208.30004882813,5211.2001953125,1102.82995605469
04/06/2010,1216.19995117188,5126,1064.88000488281
07/06/2010,1239.30004882813,5069.10009765625,1050.46997070313
08/06/2010,1244,5028.2001953125,1062
09/06/2010,1228.5,5085.89990234375,1055.68994140625
10/06/2010,1220.80004882813,5132.5,1086.83996582031
11/06/2010,1228.90002441406,5163.7001953125,1091.59997558594
14/06/2010,1223.30004882813,5202.10009765625,1089.63000488281
15/06/2010,1233.19995117188,5217.7998046875,1115.22998046875
16/06/2010,1229.30004882813,5237.89990234375,1114.60998535156
17/06/2010,1247.5,5253.89990234375,1116.0400390625
18/06/2010,1257.19995117188,5250.7998046875,1117.51000976563
21/06/2010,1239.69995117188,5299.10009765625,1113.19995117188
22/06/2010,1239.90002441406,5247,1095.31005859375
23/06/2010,1234.09997558594,5178.5,1092.0400390625
24/06/2010,1245.5,5100.2001953125,1073.68994140625
25/06/2010,1255.80004882813,5046.5,1076.76000976563
28/06/2010,1238.19995117188,5071.7001953125,1074.56994628906
29/06/2010,1242,4914.2001953125,1041.23999023438
30/06/2010,1245.5,4916.89990234375,1030.7099609375
01/07/2010,1206.30004882813,4805.7998046875,1027.36999511719
02/07/2010,1207.40002441406,4838.10009765625,1022.58001708984
05/07/2010,,4823.5,
06/07/2010,1194.80004882813,4965,1028.06005859375
07/07/2010,1198.59997558594,5014.7998046875,1060.27001953125
08/07/2010,1195.80004882813,5105.5,1070.25
09/07/2010,1209.59997558594,5132.89990234375,1077.9599609375
12/07/2010,1198.5,5167,1078.75
13/07/2010,1213.30004882813,5271,1095.33996582031
14/07/2010,1206.80004882813,5253.5,1095.17004394531
15/07/2010,1208.09997558594,5211.2998046875,1096.47998046875
16/07/2010,1188,5158.89990234375,1064.88000488281
19/07/2010,1181.69995117188,5148.2998046875,1071.25
20/07/2010,1191.5,5139.5,1083.47998046875
21/07/2010,1191.59997558594,5214.60009765625,1069.58996582031
22/07/2010,1195.5,5313.7998046875,1093.67004394531
23/07/2010,1187.69995117188,5312.60009765625,1102.66003417969
26/07/2010,1183,5351.10009765625,1115.01000976563
27/07/2010,1158,5365.7001953125,1113.83996582031
28/07/2010,1160.40002441406,5319.7001953125,1106.13000488281
29/07/2010,1168.40002441406,5314,1101.53002929688
30/07/2010,1181.69995117188,5258,1101.59997558594
02/08/2010,1183.40002441406,5397.10009765625,1125.85998535156
03/08/2010,1185.19995117188,5396.5,1120.4599609375
